dato_str,municipality_id,nedbor_mm
2019-03-31,0851,0.0
2019-04-07,0561,0.0
2019-04-07,0461,0.0
2019-04-08,0217,0.0
2019-04-14,0217,0.0
2019-04-14,0153,0.0
2019-04-14,0657,0.0
2019-04-18,0561,0.0
2019-04-18,0101,0.0
2019-04-22,0217,0.0
2019-04-22,0657,0.5
2019-04-23,0561,0.3
2019-04-28,0153,2.0
2019-04-28,0101,0.7
2019-04-29,0217,0.0
2019-05-05,0461,0.6
2019-05-05,0101,0.6
2019-05-06,0561,0.8
2019-05-10,0461,0.0
2019-05-12,0657,0.0
2019-05-13,0153,0.0
2019-05-19,0561,0.1
2019-05-20,0153,13.6
2019-05-19,0217,0.6
2019-05-25,0101,7.0
2019-05-25,0657,6.3
2019-05-25,0461,6.8
2019-04-05,0615,0.0
2019-04-07,0630,0.0
2019-04-06,0730,0.0
2019-04-07,0846,0.0
2019-04-12,0630,0.0
2019-04-15,0540,0.0
2019-04-13,0813,0.0
2019-04-14,0846,0.0
2019-04-18,0751,0.0
2019-04-18,0615,0.0
2019-04-17,0851,0.0
2019-04-19,0730,0.0
2019-04-21,0615,0.0
2019-04-21,0630,0.0
2019-04-22,0846,0.0
2019-04-22,0730,0.0
2019-04-28,0751,0.0
2019-04-28,0540,0.3
2019-04-26,0851,10.8
2019-04-26,0813,6.5
2019-05-05,0851,2.7
2019-05-05,0540,1.5
2019-05-12,0751,0.0
2019-05-12,0730,0.0
2019-05-12,0813,0.0
2019-05-19,0615,0.0
2019-05-12,0846,0.0
2019-05-19,0630,2.9
2019-05-18,0730,0.1
2019-05-26,0751,1.8
2019-05-31,0153,0.0
2019-05-30,0173,3.6
2019-05-30,0846,0.5
2019-06-02,0813,3.1
2019-06-02,0791,3.1
2019-07-12,0657,0.0
2019-07-14,0540,0.0
2019-07-14,0615,0.0
2019-07-14,0173,0.0
2019-07-14,0461,0.0
2019-07-14,0153,0.0
2019-07-15,0846,0.0
2019-07-19,0101,0.2
2019-07-21,0740,5.5
2019-07-21,0851,5.2
2019-07-21,0561,8.5
2019-07-21,0730,6.0
2019-07-21,0657,8.5
2019-07-22,0461,0.0
2019-07-26,0173,0.0
2019-07-27,0615,1.6
2019-07-28,0846,0.0
2019-07-28,0217,0.0
2019-07-28,0751,0.0
2019-07-28,0153,0.0
2019-07-29,0851,9.1
2019-08-02,0740,0.0
2019-08-03,0540,0.1
2019-08-04,0730,5.9
2019-08-04,0561,1.9
2019-08-04,0153,0.0
2019-08-04,0657,1.9
2019-08-05,0173,1.8
2019-08-09,0461,11.0
2019-08-09,0101,4.7
2019-08-11,0217,0.7
2019-08-11,0851,1.2
2019-08-11,0615,3.1
2019-08-11,0846,0.9
2019-08-12,0540,14.8
2019-08-16,0730,6.8
2019-08-16,0217,3.7
